producto,cantidad,valor_unitario,fecha,dia_semana,estacion,cantidad_log
JARABE DE GRANADINA TASKY,3.0,8.61,2024-03-05,Martes,otoño,1.3862943611198906
JARABE DE FRAMBUESA TASKY,10.0,14.7,2024-03-05,Martes,otoño,2.3978952727983707
JARABE DE FRAMBUESA TASKY,3.0,14.7,2024-03-05,Martes,otoño,1.3862943611198906
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-06,Miércoles,otoño,2.833213344056216
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-06,Miércoles,otoño,2.5649493574615367
PULPA CONGELADA DE LIMA,8.0,12.0,2024-03-06,Miércoles,otoño,2.1972245773362196
JARABE DE FRAMBUESA TASKY,4.0,14.7,2024-03-06,Miércoles,otoño,1.6094379124341003
JARABE DE FRAMBUESA TASKY,4.0,14.7,2024-03-06,Miércoles,otoño,1.6094379124341003
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-06,Miércoles,otoño,2.833213344056216
PULPA CONGELADA DE LIMA,40.0,12.0,2024-03-06,Miércoles,otoño,3.713572066704308
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-06,Miércoles,otoño,1.9459101490553132
JARABE DE BLUE CURACAO TASKY,6.0,9.87,2024-03-06,Miércoles,otoño,1.9459101490553132
JARABE DE MANZANA TASKY,3.0,9.87,2024-03-07,Jueves,otoño,1.3862943611198906
ZUMO DE LIMON CONGELADO,16.0,12.5,2024-03-09,Sábado,otoño,2.833213344056216
ZUMO DE LIMON CONGELADO,56.0,11.0,2024-03-11,Lunes,otoño,4.04305126783455
JARABE DE GRANADA TASKY,4.0,9.87,2024-03-12,Martes,otoño,1.6094379124341003
PULPA CONGELADA DE LIMA,24.0,12.0,2024-03-12,Martes,otoño,3.2188758248682006
JARABE DE FRAMBUESA TASKY,12.0,14.7,2024-03-12,Martes,otoño,2.5649493574615367
PULPA CONGELADA DE LIMA,8.0,12.0,2024-03-12,Martes,otoño,2.1972245773362196
JARABE DE MANZANA TASKY,12.0,9.87,2024-03-12,Martes,otoño,2.5649493574615367
JARABE DE MANZANA TASKY,4.0,9.87,2024-03-12,Martes,otoño,1.6094379124341003
JARABE DE GRANADINA TASKY,2.0,8.61,2024-03-12,Martes,otoño,1.0986122886681098
JARABE DE GRANADA TASKY,3.0,9.87,2024-03-12,Martes,otoño,1.3862943611198906
JARABE DE MANZANA TASKY,6.0,9.87,2024-03-12,Martes,otoño,1.9459101490553132
JARABE DE MANZANA TASKY,4.0,9.87,2024-03-12,Martes,otoño,1.6094379124341003
JARABE DE MANZANA TASKY,2.0,9.87,2024-03-12,Martes,otoño,1.0986122886681098
JARABE DE GRANADINA TASKY,3.0,8.61,2024-03-12,Martes,otoño,1.3862943611198906
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-12,Martes,otoño,1.9459101490553132
JARABE DE MANZANA TASKY,6.0,9.87,2024-03-12,Martes,otoño,1.9459101490553132
JARABE DE MANZANA TASKY,6.0,9.87,2024-03-12,Martes,otoño,1.9459101490553132
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-12,Martes,otoño,1.9459101490553132
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-12,Martes,otoño,2.5649493574615367
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-12,Martes,otoño,2.833213344056216
JARABE DE MANZANA TASKY,6.0,9.87,2024-03-12,Martes,otoño,1.9459101490553132
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-12,Martes,otoño,2.5649493574615367
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-12,Martes,otoño,1.9459101490553132
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-12,Martes,otoño,2.833213344056216
JARABE DE GRANADA TASKY,6.0,9.87,2024-03-12,Martes,otoño,1.9459101490553132
PULPA CONGELADA DE LIMA,8.0,12.0,2024-03-12,Martes,otoño,2.1972245773362196
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-12,Martes,otoño,2.5649493574615367
JARABE DE FRAMBUESA TASKY,9.0,14.7,2024-03-12,Martes,otoño,2.302585092994046
JARABE DE MANZANA TASKY,9.0,9.87,2024-03-12,Martes,otoño,2.302585092994046
JARABE DE GRANADA TASKY,6.0,9.87,2024-03-12,Martes,otoño,1.9459101490553132
PULPA CONGELADA DE LIMA,24.0,12.0,2024-03-12,Martes,otoño,3.2188758248682006
JARABE DE MANZANA TASKY,6.0,9.87,2024-03-12,Martes,otoño,1.9459101490553132
JARABE DE GRANADA TASKY,2.0,9.87,2024-03-13,Miércoles,otoño,1.0986122886681098
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-13,Miércoles,otoño,2.5649493574615367
JARABE DE FRAMBUESA TASKY,12.0,14.7,2024-03-13,Miércoles,otoño,2.5649493574615367
PULPA CONGELADA DE LIMA,8.0,12.0,2024-03-13,Miércoles,otoño,2.1972245773362196
JARABE DE MANZANA TASKY,6.0,9.87,2024-03-13,Miércoles,otoño,1.9459101490553132
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-13,Miércoles,otoño,2.5649493574615367
JARABE DE FRAMBUESA TASKY,12.0,14.7,2024-03-13,Miércoles,otoño,2.5649493574615367
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-13,Miércoles,otoño,1.9459101490553132
JARABE DE MANZANA TASKY,8.0,9.87,2024-03-13,Miércoles,otoño,2.1972245773362196
PULPA CONGELADA DE LIMA,24.0,12.0,2024-03-13,Miércoles,otoño,3.2188758248682006
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-13,Miércoles,otoño,2.833213344056216
JARABE DE FRAMBUESA TASKY,10.0,14.7,2024-03-13,Miércoles,otoño,2.3978952727983707
PULPA CONGELADA DE LIMA,24.0,12.0,2024-03-13,Miércoles,otoño,3.2188758248682006
JARABE DE BLUE CURACAO TASKY,1.0,14.0,2024-03-13,Miércoles,otoño,0.6931471805599453
JARABE DE FRAMBUESA TASKY,10.0,14.7,2024-03-13,Miércoles,otoño,2.3978952727983707
PULPA CONGELADA DE LIMA,32.0,12.0,2024-03-13,Miércoles,otoño,3.4965075614664802
JARABE DE MANZANA TASKY,8.0,9.87,2024-03-13,Miércoles,otoño,2.1972245773362196
JARABE DE FRAMBUESA TASKY,5.0,16.0,2024-03-13,Miércoles,otoño,1.791759469228055
JARABE DE MANZANA TASKY,1.0,14.0,2024-03-13,Miércoles,otoño,0.6931471805599453
PULPA DE MARACUYA,1.0,10.0,2024-03-13,Miércoles,otoño,0.6931471805599453
JARABE DE MANZANA TASKY,5.0,9.87,2024-03-13,Miércoles,otoño,1.791759469228055
JARABE DE GOMA TASKY,10.0,10.0,2024-03-15,Viernes,otoño,2.3978952727983707
PULPA DE MARACUYA,16.0,10.0,2024-03-15,Viernes,otoño,2.833213344056216
PULPA CONGELADA DE LIMA,24.0,12.0,2024-03-19,Martes,otoño,3.2188758248682006
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-19,Martes,otoño,1.9459101490553132
JARABE DE GUAYABA TASKY,6.0,9.66,2024-03-19,Martes,otoño,1.9459101490553132
JARABE DE MANZANA TASKY,15.0,9.87,2024-03-19,Martes,otoño,2.772588722239781
JARABE DE GRANADINA TASKY,3.0,8.61,2024-03-19,Martes,otoño,1.3862943611198906
JARABE DE GRANADINA TASKY,2.0,8.61,2024-03-19,Martes,otoño,1.0986122886681098
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-19,Martes,otoño,2.833213344056216
JARABE DE GRANADA TASKY,5.0,9.87,2024-03-19,Martes,otoño,1.791759469228055
JARABE DE GUAYABA TASKY,5.0,9.66,2024-03-19,Martes,otoño,1.791759469228055
JARABE DE MANZANA TASKY,5.0,9.87,2024-03-19,Martes,otoño,1.791759469228055
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-19,Martes,otoño,2.5649493574615367
JARABE DE FRAMBUESA TASKY,4.0,14.7,2024-03-19,Martes,otoño,1.6094379124341003
JARABE DE GUAYABA TASKY,4.0,12.5,2024-03-19,Martes,otoño,1.6094379124341003
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-19,Martes,otoño,2.833213344056216
PULPA CONGELADA DE LIMA,24.0,12.0,2024-03-19,Martes,otoño,3.2188758248682006
JARABE DE FRAMBUESA TASKY,2.0,14.7,2024-03-19,Martes,otoño,1.0986122886681098
JARABE DE GUAYABA TASKY,2.0,9.66,2024-03-19,Martes,otoño,1.0986122886681098
JARABE DE GRANADA TASKY,2.0,9.87,2024-03-19,Martes,otoño,1.0986122886681098
JARABE DE MANZANA TASKY,6.0,9.87,2024-03-19,Martes,otoño,1.9459101490553132
JARABE DE MANZANA TASKY,4.0,9.87,2024-03-19,Martes,otoño,1.6094379124341003
JARABE DE MANZANA TASKY,4.0,9.87,2024-03-19,Martes,otoño,1.6094379124341003
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-19,Martes,otoño,2.5649493574615367
JARABE DE GOMA TASKY,8.0,9.5,2024-03-19,Martes,otoño,2.1972245773362196
JARABE DE GRANADINA TASKY,10.0,10.5,2024-03-19,Martes,otoño,2.3978952727983707
JARABE DE GRANADA TASKY,10.0,12.4,2024-03-19,Martes,otoño,2.3978952727983707
JARABE DE MANZANA TASKY,5.0,12.5,2024-03-19,Martes,otoño,1.791759469228055
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-19,Martes,otoño,2.833213344056216
JARABE DE GUAYABA TASKY,10.0,9.66,2024-03-19,Martes,otoño,2.3978952727983707
JARABE DE GRANADA TASKY,4.0,9.87,2024-03-19,Martes,otoño,1.6094379124341003
JARABE DE FRAMBUESA TASKY,10.0,16.0,2024-03-19,Martes,otoño,2.3978952727983707
JARABE DE FRAMBUESA TASKY,5.0,14.7,2024-03-19,Martes,otoño,1.791759469228055
JARABE DE FRAMBUESA TASKY,12.0,14.7,2024-03-20,Miércoles,otoño,2.5649493574615367
JARABE DE MANZANA TASKY,9.0,9.87,2024-03-20,Miércoles,otoño,2.302585092994046
JARABE DE MANZANA TASKY,6.0,9.87,2024-03-20,Miércoles,otoño,1.9459101490553132
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-20,Miércoles,otoño,1.9459101490553132
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-20,Miércoles,otoño,2.833213344056216
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-20,Miércoles,otoño,2.5649493574615367
JARABE DE MANZANA TASKY,3.0,9.87,2024-03-20,Miércoles,otoño,1.3862943611198906
JARABE DE FRAMBUESA TASKY,3.0,14.7,2024-03-20,Miércoles,otoño,1.3862943611198906
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-20,Miércoles,otoño,1.9459101490553132
JARABE DE MANZANA TASKY,4.0,9.87,2024-03-20,Miércoles,otoño,1.6094379124341003
JARABE DE MANZANA TASKY,6.0,9.87,2024-03-20,Miércoles,otoño,1.9459101490553132
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-20,Miércoles,otoño,2.833213344056216
JARABE DE GRANADA TASKY,3.0,9.87,2024-03-20,Miércoles,otoño,1.3862943611198906
JARABE DE MANZANA TASKY,4.0,9.87,2024-03-20,Miércoles,otoño,1.6094379124341003
PULPA CONGELADA DE LIMA,8.0,12.0,2024-03-20,Miércoles,otoño,2.1972245773362196
JARABE DE GUAYABA TASKY,3.0,9.66,2024-03-22,Viernes,otoño,1.3862943611198906
JARABE DE GUAYABA TASKY,4.0,9.66,2024-03-22,Viernes,otoño,1.6094379124341003
JARABE DE MANZANA TASKY,4.0,9.87,2024-03-22,Viernes,otoño,1.6094379124341003
JARABE DE GRANADA TASKY,6.0,9.87,2024-03-22,Viernes,otoño,1.9459101490553132
